rok,dopravne nehody celkom,zomreli - dopravne nehody,nehody sposobene autom ,Zomreli po zraske s autom,auto+sofer nehody,zomreli alcohol celkom,zomreli spolujazdec,zomrel sofer,nehody_alkohol_celkovo,alkohol_motorka,alkohol_chodec,alc_cyklista,alkohol_auto,Zomreli_koli_vodicovi_s_alkoholom,alkohol_tazko_zraneny,alkohol _lahko zraneny ,Zraska_s_divokou_zverou,deaths caused by accidents involving pedestrians crossing, accidents involving pedestrians crossing,average_month,average_month_alkohol_cyklista,average_day_alkohol_cyklista,average_month_alkohol_auto,average_day_alkohol_auto,average_month_alkohol_motorka,average_day_alkohol_motorka,average_month_alkohol_chodec,average_day_alkohol_chodec,average_month_alkohol_nehody,average_day_alkohol_nehody,average_month_alkohol_zomreli,average_day_alkohol_zomreli,avg_mesiac_zraska_s_divokou_zverou,avg_day_zraska_s_divokou_zverou
2000,50.932,628,0,0,0,0,0,0,2 490,0,0,0,0,41,0,NULL,0,0,NULL,0,0,0,0,0,0,0,0,0,207.5,6.82,3.42,0.11,0,0
2001,57.258,614,0,0,0,0,0,0,2 768,0,0,0,0,0,0,NULL,0,0,NULL,0,0,0,0,0,0,0,0,0,230.67,7.58,0,0,0,0
2002,57.06,610,0,0,0,0,0,0,2 663,0,0,0,0,0,0,NULL,0,0,NULL,0,0,0,0,0,0,0,0,0,221.92,7.3,0,0,0,0
2003,60.304,645,0,0,0,0,0,0,2 767,0,0,0,0,0,0,NULL,0,0,NULL,0,0,0,0,0,0,0,0,0,230.58,7.58,0,0,0,0
2004,61 233,603,0,0,0,0,0,0,2 851,0,0,0,0,0,0,NULL,0,0,NULL,0,0,0,0,0,0,0,0,0,237.58,7.81,0,0,0,0
2005,59 991,560,0,0,0,0,0,0,2 632,0,0,0,0,36,0,NULL,0,0,NULL,0,0,0,0,0,0,0,0,0,219.33,7.21,3,0.1,0,0
2006,62 040,579,0,0,0,0,0,0,2 887,0,0,0,0,0,0,NULL,0,0,NULL,0,0,0,0,0,0,0,0,0,240.58,7.91,0,0,0,0
2007,61 071,627,0,0,0,0,0,0,3 110,0,0,0,0,0,0,NULL,0,0,NULL,0,0,0,0,0,0,0,0,0,259.17,8.52,0,0,0,0
2008,59.008,558,0,0,0,0,0,0,3 122,0,0,0,0,0,0,NULL,0,0,NULL,0,0,0,0,0,0,0,0,0,260.17,8.55,0,0,0,0
2009,25.989,347,0,0,0,0,0,0,2 524,0,0,0,0,347,1408,3.011,0,0,NULL,0,0,0,0,0,0,0,0,0,210.33,6.92,28.92,0.95,0,0
2010,21 611,345,0,0,0,0,0,0,2 126,0,0,0,0,26,146,812,0,0,NULL,0,0,0,0,0,0,0,0,0,177.17,5.82,2.17,0.07,0,0
2011,15 001,324,0,0,0,0,0,0,1 903,0,0,0,0,37,148,667,0,0,NULL,0,0,0,0,0,0,0,0,0,158.58,5.21,3.08,0.1,0,0
2012,13 945,296,17228,291,2090,66,0,0,1 904,0,0,0,0,32,136,585,"1,354",77,616,0,0,0,0,0,0,0,0,0,158.67,5.22,2.67,0.09,0.11,0
2013,13 586 ,223,16418,262,"1,891",60,41,0,1 905,0,0,0,0,23,145,584,"1,542",77,600,0,0,0,0,0,0,0,0,0,158.75,5.22,1.92,0.06,0.13,0
2014,13 307,259,15457,273,"1,669",59,59,0,1 906,0,0,0,0,36,0,NULL,"1,496",61,530,0,0,0,0,0,0,0,0,0,158.83,5.22,3,0.1,0.13,0
2015,13 547,274,14345,242,"1,539",57,0,0,1 907,0,0,0,0,31,0,NULL,"1,563",65,531,0,0,0,0,0,0,0,0,0,158.92,5.22,2.58,0.08,0.13,0
2016,13 522,242,14191,240,"1,428",51,0,0,1 908,0,0,0,0,37,0,NULL,"1,541",58,579,0,0,0,0,0,0,0,0,0,159,5.23,3.08,0.1,0.13,0
2017,14 013,157,14429,226,"1,305",45,0,0,1 909,0,0,0,0,24,0,NULL,"1,521",66,514,0,0,0,0,0,0,0,0,0,159.08,5.23,2,0.07,0.13,0
2018,13 902,132,13591,182,"1,193",46,0,0,1 910,0,0,0,0,0,0,NULL,"1,527",58,536,0,0,0,0,0,0,0,0,0,159.17,5.23,0,0,0.13,0
2019,13 741,245,13785,199,1 356,135,57,78,1 911,0,0,0,0,233,0,NULL,"1,524",52,536,0,0,0,0,0,0,0,0,0,159.25,5.24,19.42,0.64,0.13,0
2020,11 875,225,13062,160,1 388,133,37,96,1 912,0,0,0,0,135,0,NULL,"1,467",54,558,0,0,0,0,0,0,0,0,0,159.33,5.24,11.25,0.37,0.12,0
2021,11869,226,13321,155,1361,37,0,0,1536,27,56,101,1361,133,0,NULL,1503.888889,63.11111111,555.5555556,0,8,0,113,3,2.25,0.07,4,0,128,4.21,11.08,0.36,125.32,4.12
2022,12065,244,,,1236,,,,1462,27,85,127,1236,0,0,0,,,,,,,,,,,,,,,,,,
