date,value,group
1999-01-04,1.1789,A
1999-01-05,1.179,A
1999-01-06,1.1743,A
1999-01-07,1.1632,A
1999-01-08,1.1659,A
1999-01-11,1.1569,A
1999-01-12,1.152,A
1999-01-13,1.1744,A
1999-01-14,1.1653,A
1999-01-15,1.1626,A
1999-01-18,1.1612,A
1999-01-19,1.1616,A
1999-01-20,1.1575,A
1999-01-21,1.1572,A
1999-01-22,1.1567,A
1999-01-25,1.1584,A
1999-01-26,1.1582,A
1999-01-27,1.1529,A
1999-01-28,1.141,A
1999-01-29,1.1384,A
1999-02-01,1.1338,A
1999-02-02,1.1337,A
1999-02-03,1.1337,A
1999-02-04,1.1263,A
1999-02-05,1.1292,A
1999-02-08,1.1246,A
1999-02-09,1.1333,A
1999-02-10,1.1342,A
1999-02-11,1.1312,A
1999-02-12,1.1244,A
1999-02-15,1.1238,A
1999-02-16,1.1176,A
1999-02-17,1.1253,A
1999-02-18,1.1232,A
1999-02-19,1.1163,A
1999-02-22,1.0992,A
1999-02-23,1.0969,A
1999-02-24,1.1037,A
1999-02-25,1.1031,A
1999-02-26,1.1018,A
1999-03-01,1.0986,A
1999-03-02,1.0887,A
1999-03-03,1.0899,A
1999-03-04,1.0866,A
1999-03-05,1.0834,A
1999-03-08,1.0908,A
1999-03-09,1.0863,A
1999-03-10,1.0953,A
1999-03-11,1.0891,A
1999-03-12,1.0932,A
1999-03-15,1.0949,A
1999-03-16,1.0901,A
1999-03-17,1.0966,A
1999-03-18,1.1012,A
1999-03-19,1.0915,A
1999-03-22,1.0864,A
1999-03-23,1.0896,A
1999-03-24,1.0928,A
1999-03-25,1.0898,A
1999-03-26,1.0815,A
1999-03-29,1.0692,A
1999-03-30,1.0711,A
1999-03-31,1.0742,A
1999-04-01,1.0772,A
1999-04-02,1.0772,A
1999-04-05,1.0752,A
1999-04-06,1.0726,A
1999-04-07,1.0812,A
1999-04-08,1.0818,A
1999-04-09,1.0778,A
1999-04-12,1.0867,A
1999-04-13,1.0765,A
1999-04-14,1.0787,A
1999-04-15,1.0786,A
1999-04-16,1.0668,A
1999-04-19,1.0636,A
1999-04-20,1.0646,A
1999-04-21,1.0586,A
1999-04-22,1.0581,A
1999-04-23,1.0634,A
1999-04-26,1.0614,A
1999-04-27,1.063,A
1999-04-28,1.0666,A
1999-04-29,1.0604,A
1999-04-30,1.0597,A
1999-05-03,1.0589,A
1999-05-04,1.0564,A
1999-05-05,1.0667,A
1999-05-06,1.0799,A
1999-05-07,1.0786,A
1999-05-10,1.0735,A
1999-05-11,1.0732,A
1999-05-12,1.0645,A
1999-05-13,1.0622,A
1999-05-14,1.0676,A
1999-05-17,1.0685,A
1999-05-18,1.069,A
1999-05-19,1.0634,A
1999-05-20,1.0639,A
1999-05-21,1.0572,A
1999-05-24,1.0585,A
1999-05-25,1.0627,A
1999-05-26,1.0535,A
1999-05-27,1.0473,A
1999-05-28,1.0479,A
1999-05-31,1.0456,A
1999-06-01,1.0434,A
1999-06-02,1.0382,A
1999-06-03,1.0382,A
1999-06-04,1.0315,A
1999-06-07,1.0316,A
1999-06-08,1.0385,A
1999-06-09,1.0466,A
1999-06-10,1.0474,A
1999-06-11,1.0474,A
1999-06-14,1.0437,A
1999-06-15,1.0392,A
1999-06-16,1.0345,A
1999-06-17,1.034,A
1999-06-18,1.0388,A
1999-06-21,1.0339,A
1999-06-22,1.0313,A
1999-06-23,1.028,A
1999-06-24,1.0321,A
1999-06-25,1.0443,A
1999-06-28,1.0388,A
1999-06-29,1.0364,A
1999-06-30,1.0328,A
1999-07-01,1.0264,A
1999-07-02,1.0241,A
1999-07-05,1.0232,A
1999-07-06,1.0221,A
1999-07-07,1.0222,A
1999-07-08,1.0182,A
1999-07-09,1.0204,A
1999-07-12,1.0124,A
1999-07-13,1.0183,A
1999-07-14,1.0168,A
1999-07-15,1.0201,A
1999-07-16,1.0202,A
1999-07-19,1.0146,A
1999-07-20,1.041,A
1999-07-21,1.0462,A
1999-07-22,1.0499,A
